BOR;AN;FI;FI_EJ;LIT_MED;JLI_MED;SEJHC_MED;SEJ0_MED;JOU_MED;LIT_CHI;JLI_CHI;SEJHC_CHI;SEJ0_CHI;JOU_CHI;LIT_OBS;JLI_OBS;SEJHC_OBS;SEJ0_OBS;JOU_OBS;LIT_MCO;JLI_MCO;SEJHC_MCO;SEJ0_MCO;JOU_MCO;PLA_MED;SEJHP_MED;PLAN_MED;SEJN_MED;SEA_MED;PLA_CHI;SEJHP_CHI;PLA_OBS;SEJHP_OBS;PLAN_OBS;SEJN_OBS;PLA_MCO;SEJHP_MCO;PLAN_MCO;SEJN_MCO;SEA_MCO;PCAR;PDER;PEND;PGAS;PNEU;PPED;PPNE;PRHU;POPH;DEND;DNEU;DPED;DOPH;PCON;PACT;PDEN
MCO;2014;830100392;830000154;35;12775;1835;60;11720;65;23725;3336;12;11377;0;;0;0;0;100;36500;5171;72;23097;0;1;;;41;20;7908;0;0;;;20;7909;;;41;;;;;;;;;;;;;;;;
MCO;2014;830100418;830000170;;;0;0;0;30;10950;1284;4;4259;;;0;0;0;30;10950;1284;4;4259;;0;;;2;7;4197;;0;;;7;4197;;;2;;;;;;;;;;;;;;;;
MCO;2014;830100434;830000196;18;6570;1920;0;9771;76;27740;3644;0;11359;38;13870;3161;1609;6521;132;48180;8725;1609;27651;16;18;;;4113;32;12850;4;1276;;;52;14144;;;4113;;;;;;;;;;;;;;;;
MCO;2014;830100459;830000212;8;2920;241;12;1376;62;19319;3966;1022;9327;;;95;95;0;70;22239;4302;1129;10703;;0;;;14;50;6318;;0;;;50;6318;;;14;;;;;;;;;;;;;;;;
MCO;2014;830100475;830000238;;;0;0;0;64;23360;2599;45;10502;;;0;0;0;64;23360;2599;45;10502;;0;;;5;26;3946;0;1;;;26;3947;;;5;;;;;;;;;;;;;;;;
MCO;2014;830100491;830000212;;;0;0;0;;5902;888;8;984;;;0;0;0;;5902;888;8;984;;0;;;6;;3355;;0;;;;3355;;;6;;;;;;;;;;;;;;;;
MCO;2014;830100558;690781810;19;5955;464;2;4759;49;14833;2053;223;9100;0;;0;0;0;68;20788;2517;225;13859;6;1257;0;;1;0;0;0;0;0;;6;1257;0;;1;0;0;0;0;0;0;1;1;0;;;;;11880;268;
MCO;2014;830100574;750821092;156;56940;8811;951;44215;104;37960;5069;42;29899;;;0;0;0;260;94900;13880;993;74114;39;372;;;11241;9;1848;;0;;;48;2220;;;11241;1;1;0;1;1;0;1;1;1;;144;;48;95477;32076;2066
MCO;2014;830100608;830100616;115;41915;5371;712;38865;;;0;0;0;;;0;0;0;115;41915;5371;712;38865;1;96;;;60;;0;;0;;;1;96;;;60;1;0;1;1;0;1;1;1;1;;;17;53;15408;2231;
MCO;2014;830100855;830000493;36;13140;1082;6;12462;;;0;0;0;;;0;0;0;36;13140;1082;6;12462;0;0;;;0;;0;;0;;;0;0;;;0;;;;;;;;;;;;;;;;
