BOR;AN;FI;FI_EJ;LIT_MED;JLI_MED;SEJHC_MED;SEJ0_MED;JOU_MED;LIT_CHI;JLI_CHI;SEJHC_CHI;SEJ0_CHI;JOU_CHI;LIT_OBS;JLI_OBS;SEJHC_OBS;SEJ0_OBS;JOU_OBS;LIT_MCO;JLI_MCO;SEJHC_MCO;SEJ0_MCO;JOU_MCO;PLA_MED;SEJHP_MED;PLAN_MED;SEJN_MED;SEA_MED;PLA_CHI;SEJHP_CHI;PLA_OBS;SEJHP_OBS;PLAN_OBS;SEJN_OBS;PLA_MCO;SEJHP_MCO;PLAN_MCO;SEJN_MCO;SEA_MCO;PCAR;PDER;PEND;PGAS;PNEU;PPED;PPNE;PRHU;POPH;DEND;DNEU;DPED;DOPH;PCON;PDEN;PACT
MCO;2015;920300183;920000759;;;0;0;0;15;1650;1002;159;1859;;;0;0;0;15;1650;1002;159;1859;;0;;;0;28;11048;;0;;;28;11048;;;0;;;;;;;;;;;;;;;;
MCO;2015;920300191;920000767;;;0;0;0;60;20400;2075;3;5544;;;0;0;0;60;20400;2075;3;5544;;0;;;108;19;7472;;0;;;19;7472;;;108;;;;;;;;;;;;;;;;
MCO;2015;920300266;920000940;24;8760;1170;0;6004;;;0;0;0;;;0;0;0;24;8760;1170;0;6004;5;6;;;0;;0;;0;;;5;6;;;0;;;;;;;;;;;;;;;;
MCO;2015;920300365;920815388;;;0;0;0;46;16735;2350;227;5723;;;2;0;2;46;16735;2352;227;5725;;1765;0;0;0;31;5818;;141;0;0;31;7724;0;0;0;;;;;;;;;;;;;;;;
MCO;2015;920300415;920000890;25;9125;465;1;7191;28;10220;1791;18;5819;23;8395;856;98;3242;76;27740;3112;117;16252;15;2148;;;20060;41;3321;23;411;;;79;5880;;;20060;;;;;;;;;;;;;;;;
MCO;2015;920300597;920000940;31;11315;1329;64;10690;50;18250;3243;0;12180;20;6083;267;0;1291;101;35648;4839;64;24161;8;4615;;;2236;42;4850;;83;;;50;9548;;;2236;;;;;;;;;;;;;;;;
MCO;2015;920300670;920000965;;;0;0;0;30;10950;1718;247;2316;28;10220;410;10;1658;58;21170;2128;257;3974;;0;;;2;7;1907;0;3;;;7;1910;;;2;0;0;0;0;0;0;0;0;0;;;;;;;
MCO;2015;920300712;920810736;;;0;0;0;20;7300;1762;1;2231;;;0;0;0;20;7300;1762;1;2231;;0;;;0;39;6871;;0;;;39;6871;;;0;;;;;;;;;;;;;;;;
MCO;2015;920300753;920810736;68;24820;2110;34;16934;130;47450;10345;774;38667;;;0;0;0;198;72270;12455;808;55601;;6;;;9226;10;1561;;0;;;10;1567;;;9226;;;;;;;;;;;;;;;;
MCO;2015;920300761;920000973;17;5605;767;2;5730;48;17520;2882;0;8446;;;0;0;0;65;23125;3649;2;14176;15;51;;;7920;34;8466;;0;;;49;8517;;;7920;;;;;;;;;;;;;;;;
MCO;2015;920300787;920000981;54;19710;3516;15;20337;63;22995;2230;0;10200;15;5475;1115;24;4508;132;48180;6861;39;35045;8;3473;1;101;11472;25;1429;0;1854;;;33;6756;1;101;11472;;;;;;;;;;;;;;;;
MCO;2015;920300837;920001005;3;1095;5;0;14;29;10585;1461;9;3760;18;6570;587;17;2403;50;18250;2053;26;6177;;0;;;13003;34;8059;0;114;;;34;8173;;;13003;;;;;;;;;;;;;;;;
MCO;2015;920300845;780020715;32;11680;483;12;8375;;;0;0;0;;;0;0;0;32;11680;483;12;8375;5;79;;;0;;0;;0;;;5;79;;;0;0;0;0;0;0;0;0;0;0;;;;;;;
MCO;2015;920300936;920006848;14;5110;1582;11;11141;56;20440;1669;43;8736;;;0;0;0;70;25550;3251;54;19877;4;1572;;;0;13;1184;;0;;;17;2756;;;0;0;0;0;0;0;0;0;0;0;;;;;;;
MCO;2015;920301033;920001062;9;1979;284;2;922;;;0;0;0;;;0;0;0;9;1979;284;2;922;0;0;;;7114;;0;;0;;;0;0;;;7114;0;0;0;0;0;0;0;0;0;;;;;;;
MCO;2015;920803798;920002037;27;8895;349;4;8895;0;0;0;0;0;;;0;0;0;27;8895;349;4;8895;;0;;;0;0;0;;0;;;0;0;;;0;;;;;;;;;;;;;;;;
MCO;2015;930000286;930021480;289;104647;14701;1186;90304;51;18050;3061;273;14503;43;15687;3507;384;12563;383;138384;21269;1843;117370;14;1297;;;13785;10;4151;0;0;;;24;5448;;;13785;1;0;1;1;1;1;1;1;1;78;22;28;90;173627;1267;210559
MCO;2015;930000302;930110036;231;74393;10372;1373;69241;50;18250;2491;68;12428;65;23725;5162;607;20761;346;116368;18025;2048;102430;7;276;;;10354;9;2218;;0;;;16;2494;;;10354;1;1;1;1;0;1;;;1;180;;15;110;93496;2250;32817
MCO;2015;930000328;930110051;263;92238;12653;2140;75840;70;25550;3898;1760;11549;90;32850;7222;931;27686;423;150638;23773;4831;115075;15;2402;;;1183;23;1837;3;1057;;;41;5296;;;1183;1;1;1;1;1;1;1;1;1;;;;;81294;216;52264
MCO;2015;930000336;930110069;271;98915;12667;467;86075;78;28470;3825;247;17840;56;20440;4091;119;17465;405;147825;20583;833;121380;34;1797;;;3997;14;3250;5;662;;;53;5709;;;3997;1;1;1;1;1;1;1;1;1;;;;;;;
MCO;2015;930100011;750712184;63;22995;1614;14;18730;;;0;0;0;0;;0;0;0;63;22995;1614;14;18730;5;1670;;;11;;0;;0;;;5;1670;;;11;1;1;1;0;0;0;0;1;1;20;;;20;5862;862;2752
MCO;2015;930100037;750712184;332;118312;13574;175;107106;92;31612;4477;278;25236;;;0;0;0;424;149924;18051;453;132342;87;7255;;;15086;10;1614;6;545;;;103;9414;;;15086;1;1;1;1;1;0;1;1;1;46;19;;49;210118;14948;202374
MCO;2015;930100045;750712184;151;55115;8534;619;42128;23;3247;398;4;2334;52;18980;4183;178;17335;226;77342;13115;801;61797;36;5250;;;1082;6;225;10;2446;;;52;7921;;;1082;0;0;1;0;0;1;0;0;1;37;;36;136;;;
MCO;2015;930150032;930000815;;;0;0;0;;;0;0;0;28;10220;1645;27;7425;28;10220;1645;27;7425;;0;;;54;;0;3;1092;;;3;1092;;;54;;;1;;;;;;;7;;;;21848;;5684
MCO;2015;930300025;930000393;58;21170;4359;417;29690;65;23725;8477;5922;12678;24;8760;1053;26;4248;147;53655;13889;6365;46616;0;2;0;0;19907;33;16;0;18;0;0;33;36;0;0;19907;;;;;;;;;;;;;;;;
MCO;2015;930300066;930000401;63;22995;2762;34;18095;51;18615;3088;198;10335;;;0;0;0;114;41610;5850;232;28430;14;1;;;38345;14;8631;;0;;;28;8632;;;38345;;;;;;;;;;;;;;;;
MCO;2015;930300082;930000419;30;10950;935;4;8665;89;31020;2390;80;9396;0;0;0;0;0;119;41970;3325;84;18061;10;2;;;1586;12;9364;1;24;;;23;9390;;;1586;0;0;0;0;0;0;0;0;0;;;;;58000;;
MCO;2015;930300116;930000427;39;14235;1754;12;19745;72;17705;3562;159;11865;60;21900;3715;457;14298;171;53840;9031;628;45908;0;0;;;1629;51;10092;;0;;;51;10092;;;1629;;;;;;;;;;;;;;;;
MCO;2015;930300264;930000492;;;0;0;0;75;25830;3112;20;12052;;;0;0;0;75;25830;3112;20;12052;1;1;;;0;15;3206;;0;;;16;3207;;;0;;;;;;;;;;;;;;;;
